NUMBER OF CYCLIST KILLED,ON STREET NAME,CRASHES,NUMBER OF PERSONS KILLED,NUMBER OF MOTORIST INJURED,ZIP CODE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF MOTORIST KILLED,CROSS STREET NAME,NUMBER OF PEDESTRIANS KILLED,NUMBER OF PEDESTRIANS INJURED,LATITUDE,NUMBER OF PERSONS INJURED,BOROUGH,OFF STREET NAME,YELP_BAR,YELP_DRINK,YELP_FOOD,YELP_MUSIC,YELP_SHOW,FOUR_SQUARE_DRINK,FOUR_SQUARE_FOOD
0,HUNTERS POINT AVENUE,31,0,10,11101,-73.93634370000002,0,0,HUNTERS POINT AVENUE,0,0,40.7403404,10,QUEENS,,0,0,0,0,1,0,0
0,EAST 105 STREET,31,0,7,10029,-73.94292659999998,0,0,EAST 105 STREET,0,4,40.78994960000001,11,MANHATTAN,,3,3,7,3,2,0,0
0,WEST 156 STREET,31,0,10,10032,-73.9453358,0,0,WEST 156 STREET,0,1,40.8334381,11,MANHATTAN,,1,1,3,2,3,0,0
0,WEST 147 STREET,31,0,2,10031,-73.9495067,1,0,WEST 147 STREET,0,2,40.8277283,5,MANHATTAN,,1,1,5,0,0,0,0
0,TUNNEL EXIT STREET,31,0,1,10016,-73.97679090000003,1,0,QUEENS MIDTOWN TUNNEL EXIT,0,0,40.7460346,2,MANHATTAN,,1,1,2,2,3,0,0
0,WOODHAVEN BOULEVARD,31,0,12,11379,-73.87100079999998,1,0,WOODHAVEN BOULEVARD,0,0,40.7279234,13,QUEENS,,0,0,1,0,1,0,0
0,BROOKLYN-QUEENS EXPRESSWAY,31,0,3,NY 11201,-73.98956290000002,0,0,,0,0,40.701529,3,KINGS,,0,1,1,0,4,0,0
0,COLUMBUS AVENUE,31,0,0,10024,-73.9731337,2,0,COLUMBUS AVENUE,0,2,40.78517100000001,4,MANHATTAN,,10,15,18,2,2,0,30
0,COMMONWEALTH BOULEVARD,31,0,2,11426,-73.72177669999998,1,0,COMMONWEALTH BOULEVARD,0,2,40.73444179999999,5,QUEENS,,0,0,0,0,2,0,0
0,EAST 130 STREET,31,0,13,10037,-73.9367194,0,0,EAST 130 STREET,0,5,40.80822070000001,18,MANHATTAN,,0,0,0,1,0,0,0
0,MORNINGSIDE AVENUE,31,0,0,10027,-73.95312709999997,0,0,MORNINGSIDE AVENUE,0,2,40.8126915,2,MANHATTAN,,0,0,1,0,1,0,0
0,BUSHWICK AVENUE,31,0,11,11221,-73.92141120000002,0,0,BUSHWICK AVENUE,0,3,40.6913537,14,BROOKLYN,,0,0,0,0,0,0,0
0,LIBERTY AVENUE,31,0,2,11419,-73.8311195,3,0,LIBERTY AVENUE,0,4,40.6847487,9,QUEENS,,1,1,3,0,1,0,0
0,FLUSHING AVENUE,31,0,3,11205,-73.95518320000002,0,0,WALWORTH STREET,0,0,40.699191600000006,3,BROOKLYN,,0,0,0,0,0,0,0
0,BELL BOULEVARD,31,0,3,11361,-73.7718954,0,0,BELL BOULEVARD,0,3,40.765320700000004,6,QUEENS,,3,3,5,3,7,0,273
0,SUTTON PLACE SOUTH,31,0,0,10022,-73.9606703,1,0,SUTTON PLACE SOUTH,0,2,40.75736320000001,3,MANHATTAN,,0,0,0,0,0,0,0
0,CONEY ISLAND AVENUE,31,0,3,11223,-73.96196479999998,0,0,CONEY ISLAND AVENUE,0,3,40.6078422,6,BROOKLYN,,3,4,8,1,3,0,0
0,NEW YORK AVENUE,31,1,5,11210,-73.9451224,0,0,NEW YORK AVENUE,1,1,40.63644710000001,6,BROOKLYN,,0,0,0,0,0,0,0
0,FRANCIS LEWIS BOULEVARD,31,0,19,11412,-73.748642,1,0,FRANCIS LEWIS BOULEVARD,0,1,40.7015883,21,QUEENS,,0,0,0,0,0,0,0
0,LEXINGTON AVENUE,31,0,2,10075,-73.9583993,0,0,LEXINGTON AVENUE,0,3,40.7756424,5,MANHATTAN,,1,2,3,4,11,0,97
0,SUMMIT STREET,31,0,7,11231,-74.0023824,0,0,,0,0,40.682196999999995,7,KINGS,,0,0,0,0,0,0,0
0,WASHINGTON STREET,31,0,3,10014,-74.00697199999998,0,0,WASHINGTON STREET,0,0,40.741625899999995,3,MANHATTAN,,3,3,1,3,2,0,0
0,LEXINGTON AVENUE,31,0,3,10010,-73.9833603,2,0,LEXINGTON AVENUE,0,0,40.7414135,5,MANHATTAN,,6,15,13,1,2,0,46
0,SHORE ROAD,31,0,5,11220,-74.03487129999998,1,0,SHORE ROAD,0,0,40.6113676,6,BROOKLYN,,0,0,0,0,0,0,0
0,SAINT NICHOLAS AVENUE,31,0,4,10030,-73.9460792,10,0,SAINT NICHOLAS AVENUE,0,2,40.821262899999994,16,MANHATTAN,,0,0,1,0,0,0,0
0,MONTROSE AVENUE,31,0,4,11206,-73.9504063,2,0,NEW MONTROSE AVENUE,0,0,40.7066527,6,BROOKLYN,,2,3,5,1,1,0,0
0,METCALF AVENUE,31,0,13,10473,-73.8710016,0,0,METCALF AVENUE,0,2,40.822562,15,BRONX,,0,0,0,0,0,0,0
0,EAST 169 STREET,31,0,3,10456,-73.9050515,1,0,EAST 169 STREET,0,8,40.8327066,12,BRONX,,0,0,0,0,0,0,0
0,WHITEHALL STREET,31,0,0,10004,-74.012825,1,0,WHITEHALL STREET,0,0,40.7024083,1,MANHATTAN,,1,3,8,1,2,0,303
0,FLATBUSH AVENUE,31,0,3,11225,-73.96055859999998,0,0,FLATBUSH AVENUE,0,3,40.659495899999996,6,BROOKLYN,,2,7,11,3,5,0,110
0,FORT GREENE PLACE,31,0,0,11217,-73.97619909999997,0,0,FORT GREENE PLACE,0,1,40.6852929,1,BROOKLYN,,0,0,1,1,2,0,0
