OBJECTID,RecNum,FIRST_Year,FIRST_Boro,FIRST_CB,FIRST_Main,FIRST_From,FIRST_ToSt,FIRST_NumO,FIRST_NrSc,FIRST_Othe,FIRST_Inst,FIRST_Nu_1,FIRST_ReIn,FIRST_SchP,FIRST_Orde,FIRST_Or_1,FIRST_Or_2,FIRST_RecN,Shape_Leng,CRASHES 3,CRASHES -3,CRASHES 6,CRASHES -6,3 MONTH PERCENT DECREASE,6 MONTH PERCENT DECREASE,STREETS,LATLON,CRASHES TOTAL 3,CRASHES TOTAL 6,CRASHES TOTAL -3,CRASHES TOTAL -6,3 MONTH PERCENT DECREASE PLUS,6 MONTH PERCENT DECREASE PLUS
37,37,2014,2,3,EAST 159th STREET,MELROSE AVENUE,COURTLANDT AV.,1,0,1,03/11/2014,0,,N/S,B-332316,01/23/2014,03/12/2014,0,510.701629675,0.0,0.0,0.0,0.0,0.0,0.0,EAST 159th STREET+COURTLANDT AV.,"(40.8206599, -73.9176823)",101661.0,100213.0,48305.0,50075.0,0.0,0.0
36,36,2014,2,3,FOREST AVENUE,HOME STREET,EAST 166th STREET,1,1,0,04/08/2014,0,,RT HUDSON SDA ELEMENTARY SCHOOL,B-332315,01/23/2014,04/10/2014,0,640.569170268,0.0,0.0,0.0,0.0,0.0,0.0,FOREST AVENUE+EAST 166th STREET,"(40.8319625, -73.91984149999999)",103247.0,99169.0,48319.0,51867.0,0.0,0.0
35,35,2014,2,3,BRYANT AVENUE,FREEMAN STREET,HOME STREET,1,0,1,03/05/2014,0,,N/S,B-332314,01/23/2014,03/07/2014,0,376.687302107,0.0,0.0,0.0,0.0,0.0,0.0,BRYANT AVENUE+HOME STREET,"(40.828332, -73.8948568)",101094.0,100816.0,48857.0,49414.0,0.0,0.0
34,34,2014,2,1,EAGLE AVENUE,EAST 158th STREET,EAST 156th STREET,1,1,0,04/28/2014,0,,PS 157 / GROVE HILL SCHOOL,B-334072,03/06/2014,05/02/2014,0,517.341019662,0.0,0.0,0.0,0.0,0.0,0.0,EAGLE AVENUE+EAST 156th STREET,"(40.8185475, -73.907787)",104201.0,98440.0,47982.0,52489.0,0.0,0.0
33,33,2014,2,1,EAGLE AVENUE,EAST 159th STREET,EAST 158th STREET,1,1,0,03/03/2014,0,,THE NEW LIFE SCHOOL,B-334272,03/11/2014,04/01/2014,0,257.766030834,0.0,0.0,0.0,0.0,0.0,0.0,EAGLE AVENUE+EAST 158th STREET,"(40.8223152, -73.9148268)",101109.0,100864.0,48981.0,49188.0,0.0,0.0
32,32,2014,2,3,TRINITY AVENUE,EAST 163rd STREET,EAST 161st STREET,1,1,0,03/27/2014,0,,PAUL LAWRENCE DUBLIN ACADEMY MS-301,B-332312,01/23/2014,04/01/2014,0,623.979861283,0.0,0.0,0.0,0.0,0.0,0.0,TRINITY AVENUE+EAST 161st STREET,"(40.8255695, -73.9210695)",102898.0,99463.0,47410.0,51380.0,0.0,0.0
31,31,2014,2,9,ELDER AVENUE,EAST 172nd STREET,BRONX RIVER AV.,1,1,0,03/11/2014,0,,FAMILY GROUP DAYCARE,B-332311,01/23/2014,03/12/2014,0,757.753350436,0.0,0.0,0.0,0.0,0.0,0.0,ELDER AVENUE+BRONX RIVER AV.,"(40.8276779, -73.9260176)",101661.0,100213.0,48305.0,50075.0,0.0,0.0
30,30,2014,2,9,ST. LAWRENCE AV.,LACOMBE AVENUE,RANDALL AVENUE,1,0,1,03/05/2014,0,,N/S,B-332309 / 332310,01/23/2014,03/06/2014,0,780.9511009239999,0.0,0.0,0.0,0.0,0.0,0.0,ST. LAWRENCE AV.+RANDALL AVENUE,"(40.7127837, -74.0059413)",101094.0,100816.0,48857.0,49414.0,0.0,0.0
29,29,2014,2,9,NEWBOLD AVENUE,ZEREGA AVENUE,HAVEMEYER AV.,1,0,1,03/26/2014,0,,N/S,B-332307 / 332308,01/23/2014,04/01/2014,0,860.6916479560001,0.0,0.0,0.0,0.0,0.0,0.0,NEWBOLD AVENUE+HAVEMEYER AV.,"(40.825868, -73.84647)",102775.0,99447.0,47323.0,51286.0,0.0,0.0
28,28,2014,2,9,COMMONWEALTH AV.,MANSION STREET,MERRILL STREET,1,0,1,03/24/2014,0,,N/S,B-332306,01/23/2014,03/25/2014,0,475.171141871,0.0,0.0,0.0,0.0,0.0,0.0,COMMONWEALTH AV.+MERRILL STREET,"(40.683671, -73.771153)",102703.0,99498.0,46989.0,51202.0,0.0,0.0
27,27,2014,2,9,TAYLOR AVENUE,STORY AVENUE,LAFAYETTE AVENUE,1,1,0,03/04/2014,0,,PS 100,B-332304,01/23/2014,03/06/2014,0,810.6422179880002,3.0,0.0,4.0,0.0,-3.0,-4.0,TAYLOR AVENUE+LAFAYETTE AVENUE,"(40.6898562, -73.95144909999999)",101089.0,100810.0,48900.0,49261.0,-3.0000000000000004,-4.0
26,26,2014,2,9,THIERIOT AVENUE,GLEASON AVENUE,WESTCHESTER AV.,1,0,1,02/27/2014,0,,N/S,B-332303,01/23/2014,03/03/2014,0,816.519782868,0.0,0.0,0.0,0.0,0.0,0.0,THIERIOT AVENUE+WESTCHESTER AV.,"(40.8533134, -73.82665109999999)",100650.0,100863.0,48916.0,48686.0,0.0,0.0
25,25,2014,2,9,THIERIOT AVENUE,ARCHER STREET,WOOD AVENUE,2,0,2,02/27/2014,0,,N/S,B-332302,01/23/2014,03/03/2014,0,857.4744190519998,0.0,1.0,1.0,2.0,1.0,0.5,THIERIOT AVENUE+WOOD AVENUE,"(40.512663, -74.2437642)",100650.0,100863.0,48916.0,48686.0,1.0,0.5
24,24,2014,2,9,ST. RAYMONDS AV.,PURDY STREET,ODELL STREET,1,1,0,02/25/2014,0,,ST. RAYMONDS HIGH SCHOOL,B-332300 / 332299,01/23/2014,03/03/2014,0,270.840081928,0.0,0.0,0.0,0.0,0.0,0.0,ST. RAYMONDS AV.+ODELL STREET,"(40.8370586, -73.8543985)",100745.0,100918.0,48758.0,48689.0,0.0,0.0
23,23,2014,2,9,PURDY STREET,STARLING AVENUE,WESTCHESTER AV.,1,0,1,02/25/2014,0,,N/S,B-332299,01/23/2014,03/03/2014,0,801.080363213,0.0,0.0,0.0,0.0,0.0,0.0,PURDY STREET+WESTCHESTER AV.,"(40.8533134, -73.82665109999999)",100745.0,100918.0,48758.0,48689.0,0.0,0.0
22,22,2014,2,11,THWAITES PLACE,BRONX PARK EAST,OLINVILLE AVENUE,2,0,2,09/20/2013,0,,N/S,B-326793,09/03/2013,09/25/2013,0,638.973355294,0.0,0.0,0.0,0.0,0.0,0.0,THWAITES PLACE+OLINVILLE AVENUE,"(40.8714638, -73.86827559999999)",99786.0,101458.0,49638.0,51855.0,0.0,0.0
